Provider Column,Race,Sex,Ethnicity,County,Count,Age,Year
1,White,Male,Not Hispanic,1,1573,1,2023
1,White,Female,Not Hispanic,1,1514,1,2023
1,Black,Male,Not Hispanic,1,101,1,2023
1,Black,Female,Not Hispanic,1,112,1,2023
1,AIAN,Male,Not Hispanic,1,4,1,2023
1,AIAN,Female,Not Hispanic,1,3,1,2023
1,Asian,Male,Not Hispanic,1,16,1,2023
1,Asian,Female,Not Hispanic,1,13,1,2023
1,NHOPI,Female,Not Hispanic,1,4,1,2023
1,TOM,Male,Not Hispanic,1,106,1,2023
1,TOM,Female,Not Hispanic,1,122,1,2023
1,White,Male,Hispanic,1,42,1,2023
1,White,Female,Hispanic,1,42,1,2023
1,Black,Male,Hispanic,1,3,1,2023
1,Black,Female,Hispanic,1,4,1,2023
1,TOM,Male,Hispanic,1,5,1,2023
1,TOM,Female,Hispanic,1,15,1,2023
1,White,Male,Not Hispanic,1,1793,2,2023
1,White,Female,Not Hispanic,1,1657,2,2023
1,Black,Male,Not Hispanic,1,118,2,2023
1,Black,Female,Not Hispanic,1,115,2,2023
1,AIAN,Male,Not Hispanic,1,4,2,2023
1,AIAN,Female,Not Hispanic,1,2,2,2023
1,Asian,Male,Not Hispanic,1,25,2,2023
1,Asian,Female,Not Hispanic,1,29,2,2023
1,NHOPI,Male,Not Hispanic,1,1,2,2023
1,TOM,Male,Not Hispanic,1,131,2,2023
1,TOM,Female,Not Hispanic,1,116,2,2023
1,White,Male,Hispanic,1,60,2,2023
1,White,Female,Hispanic,1,50,2,2023
1,Black,Male,Hispanic,1,12,2,2023
1,Black,Female,Hispanic,1,7,2,2023
1,AIAN,Male,Hispanic,1,8,2,2023
1,AIAN,Female,Hispanic,1,8,2,2023
1,TOM,Male,Hispanic,1,7,2,2023
1,TOM,Female,Hispanic,1,6,2,2023
1,White,Male,Not Hispanic,1,1813,3,2023
1,White,Female,Not Hispanic,1,1699,3,2023
1,Black,Male,Not Hispanic,1,107,3,2023
1,Black,Female,Not Hispanic,1,74,3,2023
1,AIAN,Male,Not Hispanic,1,6,3,2023
1,AIAN,Female,Not Hispanic,1,2,3,2023
1,Asian,Male,Not Hispanic,1,16,3,2023
1,Asian,Female,Not Hispanic,1,19,3,2023
1,NHOPI,Female,Not Hispanic,1,2,3,2023
1,TOM,Male,Not Hispanic,1,123,3,2023
1,TOM,Female,Not Hispanic,1,95,3,2023
1,White,Male,Hispanic,1,40,3,2023
1,White,Female,Hispanic,1,45,3,2023
1,Black,Male,Hispanic,1,9,3,2023
1,AIAN,Male,Hispanic,1,3,3,2023
1,AIAN,Female,Hispanic,1,5,3,2023
1,TOM,Male,Hispanic,1,7,3,2023
1,TOM,Female,Hispanic,1,3,3,2023
1,White,Male,Not Hispanic,1,1787,4,2023
1,White,Female,Not Hispanic,1,1686,4,2023
1,Black,Male,Not Hispanic,1,113,4,2023
1,Black,Female,Not Hispanic,1,112,4,2023
1,AIAN,Male,Not Hispanic,1,1,4,2023
1,AIAN,Female,Not Hispanic,1,4,4,2023
1,Asian,Male,Not Hispanic,1,23,4,2023
1,Asian,Female,Not Hispanic,1,12,4,2023
1,NHOPI,Male,Not Hispanic,1,1,4,2023
1,TOM,Male,Not Hispanic,1,103,4,2023
1,TOM,Female,Not Hispanic,1,93,4,2023
1,White,Male,Hispanic,1,46,4,2023
1,White,Female,Hispanic,1,48,4,2023
1,Black,Male,Hispanic,1,8,4,2023
1,Black,Female,Hispanic,1,6,4,2023
1,AIAN,Male,Hispanic,1,7,4,2023
1,AIAN,Female,Hispanic,1,3,4,2023
1,Asian,Male,Hispanic,1,1,4,2023
1,TOM,Male,Hispanic,1,5,4,2023
1,TOM,Female,Hispanic,1,5,4,2023
1,White,Male,Not Hispanic,1,1596,5,2023
1,White,Female,Not Hispanic,1,1535,5,2023
1,Black,Male,Not Hispanic,1,113,5,2023
1,Black,Female,Not Hispanic,1,108,5,2023
1,AIAN,Male,Not Hispanic,1,6,5,2023
1,AIAN,Female,Not Hispanic,1,4,5,2023
1,Asian,Male,Not Hispanic,1,9,5,2023
1,Asian,Female,Not Hispanic,1,22,5,2023
1,NHOPI,Male,Not Hispanic,1,1,5,2023
1,TOM,Male,Not Hispanic,1,80,5,2023
1,TOM,Female,Not Hispanic,1,60,5,2023
1,White,Male,Hispanic,1,47,5,2023
1,White,Female,Hispanic,1,48,5,2023
1,Black,Male,Hispanic,1,3,5,2023
1,Black,Female,Hispanic,1,3,5,2023
1,AIAN,Male,Hispanic,1,25,5,2023
1,AIAN,Female,Hispanic,1,1,5,2023
1,Asian,Male,Hispanic,1,1,5,2023
1,Asian,Female,Hispanic,1,2,5,2023
1,TOM,Male,Hispanic,1,7,5,2023
1,TOM,Female,Hispanic,1,9,5,2023
1,White,Male,Not Hispanic,1,1556,6,2023
1,White,Female,Not Hispanic,1,1570,6,2023
1,Black,Male,Not Hispanic,1,106,6,2023
1,Black,Female,Not Hispanic,1,84,6,2023
1,AIAN,Male,Not Hispanic,1,2,6,2023
1,AIAN,Female,Not Hispanic,1,2,6,2023
1,Asian,Male,Not Hispanic,1,7,6,2023
1,Asian,Female,Not Hispanic,1,24,6,2023
1,TOM,Male,Not Hispanic,1,41,6,2023
1,TOM,Female,Not Hispanic,1,46,6,2023
1,White,Male,Hispanic,1,37,6,2023
1,White,Female,Hispanic,1,35,6,2023
1,Black,Male,Hispanic,1,2,6,2023
1,Black,Female,Hispanic,1,2,6,2023
1,AIAN,Male,Hispanic,1,4,6,2023
1,Asian,Male,Hispanic,1,1,6,2023
1,Asian,Female,Hispanic,1,1,6,2023
1,NHOPI,Female,Hispanic,1,1,6,2023
1,TOM,Male,Hispanic,1,5,6,2023
1,TOM,Female,Hispanic,1,2,6,2023
1,White,Male,Not Hispanic,1,1755,7,2023
1,White,Female,Not Hispanic,1,1810,7,2023
1,Black,Male,Not Hispanic,1,119,7,2023
1,Black,Female,Not Hispanic,1,91,7,2023
1,AIAN,Male,Not Hispanic,1,2,7,2023
1,AIAN,Female,Not Hispanic,1,3,7,2023
1,Asian,Male,Not Hispanic,1,13,7,2023
1,Asian,Female,Not Hispanic,1,28,7,2023
1,NHOPI,Female,Not Hispanic,1,1,7,2023
1,TOM,Male,Not Hispanic,1,27,7,2023
1,TOM,Female,Not Hispanic,1,39,7,2023
1,White,Male,Hispanic,1,48,7,2023
1,White,Female,Hispanic,1,49,7,2023
1,Black,Male,Hispanic,1,1,7,2023
1,Black,Female,Hispanic,1,5,7,2023
1,AIAN,Male,Hispanic,1,4,7,2023
1,AIAN,Female,Hispanic,1,1,7,2023
1,Asian,Male,Hispanic,1,2,7,2023
1,Asian,Female,Hispanic,1,1,7,2023
1,TOM,Female,Hispanic,1,4,7,2023
1,White,Male,Not Hispanic,1,1761,8,2023
1,White,Female,Not Hispanic,1,1791,8,2023
1,Black,Male,Not Hispanic,1,84,8,2023
1,Black,Female,Not Hispanic,1,56,8,2023
1,AIAN,Male,Not Hispanic,1,2,8,2023
1,AIAN,Female,Not Hispanic,1,9,8,2023
1,Asian,Male,Not Hispanic,1,23,8,2023
1,Asian,Female,Not Hispanic,1,18,8,2023
1,NHOPI,Female,Not Hispanic,1,2,8,2023
1,TOM,Male,Not Hispanic,1,27,8,2023
1,TOM,Female,Not Hispanic,1,31,8,2023
1,White,Male,Hispanic,1,50,8,2023
1,White,Female,Hispanic,1,36,8,2023
